config,model,scheme,fold,criterion,rule,test_recorded_hours,threshold,tuning_sens,tuning_fa,criterion_met_on_tuning,test_sens,test_fa,test_tp,test_fp,test_ref_true,criterion_met_on_test
Full-18,rf,loo,chb23,realtime_alert,szcore,26.555555555555557,0.71,0.6153846153846154,1.8924128263536009,False,0.14285714285714285,0.0,1.0,0.0,7.0,False
Full-18,rf,loo,chb23,realtime_alert,ali,26.555555555555557,0.75,0.11538461538461539,1.8924128263536009,False,0.0,0.0,0.0,0.0,7.0,False
Full-18,rf,loo,chb24,medication_titration,szcore,21.295555555555556,0.57,0.3,4.809788341185571,False,1.0,18.031931545445058,16.0,16.0,16.0,False
Full-18,rf,loo,chb24,medication_titration,ali,21.295555555555556,0.45,0.06666666666666667,4.809788341185571,False,0.1875,15.777940102264427,3.0,14.0,16.0,False
Full-18,rf,loo,chb24,realtime_alert,szcore,21.295555555555556,0.67,0.3,1.7720272835946838,False,0.625,5.634978607951581,10.0,5.0,16.0,False
Full-18,rf,loo,chb24,realtime_alert,ali,21.295555555555556,0.72,0.03333333333333333,1.7720272835946838,False,0.125,2.2539914431806323,2.0,2.0,16.0,False
Full-18,rf,loo,chb08,medication_titration,szcore,20.005555555555556,0.39,0.21212121212121213,4.6875,False,1.0,103.17134129408498,5.0,86.0,5.0,False
Full-18,rf,loo,chb08,medication_titration,ali,20.005555555555556,0.3,0.12121212121212122,4.6875,False,0.4,91.17467370174951,2.0,76.0,5.0,False
Full-18,rf,loo,chb08,realtime_alert,szcore,20.005555555555556,0.47,0.15151515151515152,1.875,False,1.0,59.983337961677314,5.0,50.0,5.0,False
Full-18,rf,loo,chb08,realtime_alert,ali,20.005555555555556,0.36,0.12121212121212122,1.875,False,0.4,46.7870036101083,2.0,39.0,5.0,False
Full-18,rf,loo,chb11,medication_titration,szcore,34.79222222222222,0.49,0.06666666666666667,4.547767348012984,False,1.0,0.6898093443617667,5.0,1.0,5.0,True
Full-18,rf,loo,chb11,medication_titration,ali,34.79222222222222,0.34,0.06666666666666667,4.737257654180191,False,0.6,2.7592373774470667,3.0,4.0,5.0,True
Full-18,rf,loo,chb11,realtime_alert,szcore,34.79222222222222,0.6,0.06666666666666667,1.8949030616720766,False,1.0,0.6898093443617667,5.0,1.0,5.0,True
Full-18,rf,loo,chb11,realtime_alert,ali,34.79222222222222,0.41,0.06666666666666667,1.8949030616720766,False,0.6,0.6898093443617667,3.0,1.0,5.0,False
Full-18,rf,loo,chb15,medication_titration,szcore,40.00888888888889,0.81,0.1,4.770619044614123,False,0.0,0.0,0.0,0.0,20.0,False
Full-18,rf,loo,chb15,medication_titration,ali,40.00888888888889,0.63,0.1,4.543446709156307,False,0.0,0.0,0.0,0.0,20.0,False
Full-18,rf,loo,chb15,realtime_alert,szcore,40.00888888888889,0.89,0.1,1.5902063482047075,False,0.0,0.0,0.0,0.0,20.0,False
Full-18,rf,loo,chb15,realtime_alert,ali,40.00888888888889,0.71,0.05,1.817378683662523,False,0.0,0.0,0.0,0.0,20.0,False
Full-18,rf,loo,chb20,medication_titration,szcore,27.59888888888889,0.81,0.47368421052631576,4.37851986991354,False,0.0,0.8696002254519103,0.0,1.0,8.0,False
Full-18,rf,loo,chb20,medication_titration,ali,27.59888888888889,0.68,0.3684210526315789,4.7592607281668915,False,0.0,0.0,0.0,0.0,8.0,False
Full-18,rf,loo,chb20,realtime_alert,szcore,27.59888888888889,0.85,0.47368421052631576,1.9037042912667566,False,0.0,0.0,0.0,0.0,8.0,False
Full-18,rf,loo,chb20,realtime_alert,ali,27.59888888888889,0.76,0.21052631578947367,1.9037042912667566,False,0.0,0.0,0.0,0.0,8.0,False
Full-18,rf,loo,chb07,medication_titration,szcore,59.047777777777775,0.7,0.3333333333333333,4.992746807798376,False,1.0,3.2516041623544023,2.0,8.0,2.0,True
Full-18,rf,loo,chb07,medication_titration,ali,59.047777777777775,0.58,0.25925925925925924,4.1319283926607255,False,1.0,0.8129010405886006,2.0,2.0,2.0,True
Full-18,rf,loo,chb07,realtime_alert,szcore,59.047777777777775,0.75,0.3333333333333333,1.7216368302753022,False,1.0,3.2516041623544023,2.0,8.0,2.0,False
Full-18,rf,loo,chb07,realtime_alert,ali,59.047777777777775,0.63,0.25925925925925924,1.7216368302753022,False,1.0,0.8129010405886006,2.0,2.0,2.0,True
Full-18,lr,5fold,0,medication_titration,szcore,75.74777777777778,,,,False,,,,,,False
Full-18,lr,5fold,0,medication_titration,ali,75.74777777777778,,,,False,,,,,,False
Full-18,lr,5fold,0,realtime_alert,szcore,75.74777777777778,,,,False,,,,,,False
Full-18,lr,5fold,0,realtime_alert,ali,75.74777777777778,,,,False,,,,,,False
Full-18,lr,5fold,1,medication_titration,szcore,204.5311111111111,,,,False,,,,,,False
Full-18,lr,5fold,1,medication_titration,ali,204.5311111111111,,,,False,,,,,,False
Full-18,lr,5fold,1,realtime_alert,szcore,204.5311111111111,,,,False,,,,,,False
Full-18,lr,5fold,1,realtime_alert,ali,204.5311111111111,,,,False,,,,,,False
Full-18,lr,5fold,2,medication_titration,szcore,312.25333333333333,,,,False,,,,,,False
Full-18,lr,5fold,2,medication_titration,ali,312.25333333333333,,,,False,,,,,,False
Full-18,lr,5fold,2,realtime_alert,szcore,312.25333333333333,,,,False,,,,,,False
Full-18,lr,5fold,2,realtime_alert,ali,312.25333333333333,,,,False,,,,,,False
Full-18,lr,5fold,3,medication_titration,szcore,175.02666666666667,,,,False,,,,,,False
Full-18,lr,5fold,3,medication_titration,ali,175.02666666666667,,,,False,,,,,,False
Full-18,lr,5fold,3,realtime_alert,szcore,175.02666666666667,,,,False,,,,,,False
Full-18,lr,5fold,3,realtime_alert,ali,175.02666666666667,,,,False,,,,,,False
Full-18,lr,5fold,4,medication_titration,szcore,177.31555555555556,,,,False,,,,,,False
Full-18,lr,5fold,4,medication_titration,ali,177.31555555555556,0.98,0.0,3.8020917371980105,False,0.0,5.820132344094646,0.0,43.0,35.0,False
Full-18,lr,5fold,4,realtime_alert,szcore,177.31555555555556,,,,False,,,,,,False
Full-18,lr,5fold,4,realtime_alert,ali,177.31555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb16,medication_titration,szcore,19.0,,,,False,,,,,,False
Full-18,lr,loo,chb16,medication_titration,ali,19.0,,,,False,,,,,,False
Full-18,lr,loo,chb16,realtime_alert,szcore,19.0,,,,False,,,,,,False
Full-18,lr,loo,chb16,realtime_alert,ali,19.0,,,,False,,,,,,False
Full-18,lr,loo,chb10,medication_titration,szcore,48.022222222222226,,,,False,,,,,,False
Full-18,lr,loo,chb10,medication_titration,ali,48.022222222222226,,,,False,,,,,,False
Full-18,lr,loo,chb10,realtime_alert,szcore,48.022222222222226,,,,False,,,,,,False
Full-18,lr,loo,chb10,realtime_alert,ali,48.022222222222226,,,,False,,,,,,False
Full-18,lr,loo,chb01+21,medication_titration,szcore,72.38,,,,False,,,,,,False
Full-18,lr,loo,chb01+21,medication_titration,ali,72.38,0.99,0.18181818181818182,4.605203814709427,False,0.0,7.626416137054435,0.0,23.0,10.0,False
Full-18,lr,loo,chb01+21,realtime_alert,szcore,72.38,,,,False,,,,,,False
Full-18,lr,loo,chb01+21,realtime_alert,ali,72.38,,,,False,,,,,,False
Full-18,lr,loo,chb09,medication_titration,szcore,67.86555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb09,medication_titration,ali,67.86555555555556,0.99,0.0,1.6486931489821064,False,1.0,13.084693593542788,4.0,37.0,4.0,False
Full-18,lr,loo,chb09,realtime_alert,szcore,67.86555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb09,realtime_alert,ali,67.86555555555556,0.99,0.0,1.6486931489821064,False,1.0,13.084693593542788,4.0,37.0,4.0,False
Full-18,lr,loo,chb18,medication_titration,szcore,34.63333333333333,,,,False,,,,,,False
Full-18,lr,loo,chb18,medication_titration,ali,34.63333333333333,0.98,0.0,4.631935095724276,False,0.0,0.0,0.0,0.0,6.0,False
Full-18,lr,loo,chb18,realtime_alert,szcore,34.63333333333333,,,,False,,,,,,False
Full-18,lr,loo,chb18,realtime_alert,ali,34.63333333333333,,,,False,,,,,,False
Full-18,lr,loo,chb13,medication_titration,szcore,33.0,,,,False,,,,,,False
Full-18,lr,loo,chb13,medication_titration,ali,33.0,0.99,0.0,3.630285997068133,False,0.0,6.545454545454546,0.0,9.0,12.0,False
Full-18,lr,loo,chb13,realtime_alert,szcore,33.0,,,,False,,,,,,False
Full-18,lr,loo,chb13,realtime_alert,ali,33.0,,,,False,,,,,,False
Full-18,lr,loo,chb02,medication_titration,szcore,34.26555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb02,medication_titration,ali,34.26555555555556,0.99,0.0,3.154407133925393,False,0.0,2.1012354486202534,0.0,3.0,3.0,False
Full-18,lr,loo,chb02,realtime_alert,szcore,34.26555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb02,realtime_alert,ali,34.26555555555556,,,,False,,,,,,False
Full-18,lr,loo,chb14,medication_titration,szcore,26.0,,,,False,,,,,,False
Full-18,lr,loo,chb14,medication_titration,ali,26.0,0.99,0.0,2.6799518982992616,False,0.0,2.7692307692307696,0.0,3.0,8.0,False
Full-18,lr,loo,chb14,realtime_alert,szcore,26.0,,,,False,,,,,,False
