config,model,scheme,fold,criterion,rule,test_recorded_hours,t_star,percentile_flagged,threshold_test,tuning_sens,tuning_fa,ceiling_met_on_tuning,test_sens,test_fa,test_tp,test_fp,test_ref_true,criterion_met_on_test
Glass-2,rf,loo,chb01+21,medication_titration,szcore,72.38,0.97,0.0005412098500192703,0.6833333333333333,0.22727272727272727,3.365341249210735,True,0.5,2.6526664824537165,5,8,10,False
Glass-2,rf,loo,chb01+21,medication_titration,ali,72.38,0.9,0.0025174458175138787,0.38,0.09090909090909091,4.782327038352097,True,0.3,4.31058303398729,3,13,10,False
Glass-2,rf,loo,chb01+21,realtime_alert,szcore,72.38,0.98,0.0003198058204659325,0.76,0.22727272727272727,1.7712322364267028,True,0.3,0.9947499309201437,3,3,10,False
Glass-2,rf,loo,chb01+21,realtime_alert,ali,72.38,0.97,0.0005412098500192703,0.6833333333333333,0.0,1.239862565498692,True,0.1,0.33158331030671456,1,1,10,False
Glass-2,rf,loo,chb09,medication_titration,szcore,67.86555555555556,0.83,0.00041435409828915375,0.98,0.047619047619047616,4.47502426152286,True,1.0,2.4754825717513382,4,7,4,True
Glass-2,rf,loo,chb09,medication_titration,ali,67.86555555555556,0.66,0.0031512719580411956,0.9033333333333333,0.047619047619047616,4.003969076099401,True,1.0,6.36552661307487,4,18,4,False
Glass-2,rf,loo,chb09,realtime_alert,szcore,67.86555555555556,0.9,0.00016356082827203436,0.9933333333333333,0.047619047619047616,1.1776379635586474,True,0.75,0.3536403673930483,3,1,4,False
Glass-2,rf,loo,chb09,realtime_alert,ali,67.86555555555556,0.73,0.0012103501292130543,0.95,0.0,1.6486931489821064,True,0.5,1.4145614695721933,2,4,4,False
Glass-2,rf,loo,chb18,medication_titration,szcore,34.63333333333333,0.87,0.0003693158126734891,0.7433333333333333,0.043478260869565216,4.889264823264514,True,0.0,5.543792107795958,0,8,6,False
Glass-2,rf,loo,chb18,medication_titration,ali,34.63333333333333,0.74,0.0021086741562325022,0.64,0.0,4.374605368184039,True,0.0,0.6929740134744947,0,1,6,False
Glass-2,rf,loo,chb18,realtime_alert,szcore,34.63333333333333,0.92,0.0001310475464325284,0.8566666666666667,0.043478260869565216,1.801308092781663,True,0.0,2.078922040423484,0,3,6,False
Glass-2,rf,loo,chb18,realtime_alert,ali,34.63333333333333,0.8,0.0011436876779566114,0.69,0.0,1.801308092781663,True,0.0,0.0,0,0,6,False
Glass-2,rf,loo,chb13,medication_titration,szcore,33.0,0.99,0.00020541741752957545,0.9533333333333334,0.0,3.8319685524608076,True,0.08333333333333333,1.4545454545454546,1,2,12,False
Glass-2,rf,loo,chb13,medication_titration,ali,33.0,0.95,0.003697513515532358,0.73,0.0,3.226920886282785,True,0.0,8.727272727272727,0,12,12,False
Glass-2,rf,loo,chb13,realtime_alert,szcore,33.0,0.99,0.00020541741752957545,0.9533333333333334,0.0,3.8319685524608076,False,0.08333333333333333,1.4545454545454546,1,2,12,False
Glass-2,rf,loo,chb13,realtime_alert,ali,33.0,0.96,0.0025490434084351862,0.7666666666666667,0.0,1.4117778877487186,True,0.0,5.818181818181818,0,8,12,False
Glass-2,rf,loo,chb02,medication_titration,szcore,34.26555555555556,0.99,0.00017341937368224095,0.95,0.0,3.3515575797957298,True,0.0,3.5020590810337557,0,5,3,False
Glass-2,rf,loo,chb02,medication_titration,ali,34.26555555555556,0.91,0.0046914504248774655,0.7566666666666667,0.0,4.337309809147415,True,0.0,10.506177243101266,0,15,3,False
Glass-2,rf,loo,chb02,realtime_alert,szcore,34.26555555555556,0.99,0.00017341937368224095,0.95,0.0,3.3515575797957298,False,0.0,3.5020590810337557,0,5,3,False
Glass-2,rf,loo,chb02,realtime_alert,ali,34.26555555555556,0.95,0.0017068117304515293,0.84,0.0,0.9857522293516853,True,0.0,2.1012354486202534,0,3,3,False
Glass-2,rf,loo,chb14,medication_titration,szcore,26.0,0.99,7.635190593445189e-05,0.86,0.0,1.649201168184161,True,0.0,0.9230769230769231,0,1,8,False
Glass-2,rf,loo,chb14,medication_titration,ali,26.0,0.92,0.0039989310733169175,0.4866666666666667,0.0,4.123002920460403,True,0.0,6.461538461538462,0,7,8,False
Glass-2,rf,loo,chb14,realtime_alert,szcore,26.0,0.99,7.635190593445189e-05,0.86,0.0,1.649201168184161,True,0.0,0.9230769230769231,0,1,8,False
Glass-2,rf,loo,chb14,realtime_alert,ali,26.0,0.94,0.002490980931111493,0.5233333333333333,0.0,1.649201168184161,True,0.0,1.8461538461538463,0,2,8,False
Glass-2,rf,loo,chb06,medication_titration,szcore,58.733333333333334,0.81,0.000963000506842372,0.9766666666666667,0.2702702702702703,4.1054232133806385,True,0.0,20.839954597048806,0,51,8,False
Glass-2,rf,loo,chb06,medication_titration,ali,58.733333333333334,0.67,0.0024961986822098327,0.96,0.05405405405405406,4.926507856056767,True,0.0,0.4086265607264472,0,1,8,False
Glass-2,rf,loo,chb06,realtime_alert,szcore,58.733333333333334,0.89,0.0005575266092245312,0.98,0.1891891891891892,1.9158641662442981,True,0.0,14.710556186152099,0,36,8,False
Glass-2,rf,loo,chb06,realtime_alert,ali,58.733333333333334,0.76,0.0013811454637607703,0.97,0.05405405405405406,1.9158641662442981,True,0.0,0.0,0,0,8,False
Glass-2,rf,loo,chb03,medication_titration,szcore,37.00111111111111,0.92,0.00042798094358535406,0.8633333333333333,0.08823529411764706,4.37892081226278,True,0.5714285714285714,3.2431458514759317,4,5,7,False
Glass-2,rf,loo,chb03,medication_titration,ali,37.00111111111111,0.8,0.0019315455743391637,0.72,0.029411764705882353,4.500557501492302,True,0.14285714285714285,3.8917750217711182,1,6,7,False
Glass-2,rf,loo,chb03,realtime_alert,szcore,37.00111111111111,0.96,0.00016330851794704298,0.9066666666666666,0.08823529411764706,1.5812769599837817,True,0.2857142857142857,1.2972583405903728,2,2,7,False
Glass-2,rf,loo,chb03,realtime_alert,ali,37.00111111111111,0.87,0.0009629571230670466,0.7966666666666666,0.0,1.824550338442825,True,0.0,2.5945166811807456,0,4,7,False
Glass-2,rf,loo,chb12,medication_titration,szcore,20.685555555555556,0.98,0.00043486589046556537,0.7866666666666666,0.6666666666666666,4.472906301931529,True,0.0,4.6409195896223885,0,4,27,False
Glass-2,rf,loo,chb12,medication_titration,ali,20.685555555555556,0.93,0.002107028778803394,0.5466666666666666,0.08333333333333333,4.137438329286664,True,0.0,1.1602298974055971,0,1,27,False
Glass-2,rf,loo,chb12,realtime_alert,szcore,20.685555555555556,0.99,0.00017084017125432925,0.8933333333333333,0.5833333333333334,1.3418718905794587,True,0.0,3.4806896922167914,0,3,27,False
Glass-2,rf,loo,chb12,realtime_alert,ali,20.685555555555556,0.97,0.0006885376599038118,0.6533333333333333,0.0,1.2300492330311705,True,0.0,0.0,0,0,27,False
Glass-2,rf,loo,chb22,medication_titration,szcore,30.002222222222223,0.98,0.00034860065453675137,0.99,0.3333333333333333,4.158233479190622,True,1.0,0.0,3,0,3,True
Glass-2,rf,loo,chb22,medication_titration,ali,30.002222222222223,0.91,0.0024714225508202523,0.75,0.08333333333333333,4.383002856444169,True,1.0,0.0,3,0,3,True
Glass-2,rf,loo,chb22,realtime_alert,szcore,30.002222222222223,0.99,0.00014048086078346698,0.9933333333333333,0.25,1.4610009521480565,True,1.0,0.0,3,0,3,True
Glass-2,rf,loo,chb22,realtime_alert,ali,30.002222222222223,0.95,0.0011394558707992321,0.9166666666666666,0.0,1.6857703294016035,True,0.0,3.1997629805199614,0,4,3,False
Glass-2,rf,loo,chb04,medication_titration,szcore,146.6211111111111,0.99,0.00046750227433538867,0.9433333333333334,0.2727272727272727,5.731325179419792,False,0.0,6.383801029107525,0,39,4,False
Glass-2,rf,loo,chb04,medication_titration,ali,146.6211111111111,0.95,0.003209339937329425,0.7633333333333333,0.0,4.912564439502678,True,0.0,7.693298676103941,0,47,4,False
Glass-2,rf,loo,chb04,realtime_alert,szcore,146.6211111111111,0.99,0.00046750227433538867,0.9433333333333334,0.2727272727272727,5.731325179419792,False,0.0,6.383801029107525,0,39,4,False
Glass-2,rf,loo,chb04,realtime_alert,ali,146.6211111111111,0.97,0.0017183867380976448,0.85,0.0,1.9104417264732638,True,0.0,2.618995293992831,0,16,4,False
Glass-2,rf,loo,chb05,medication_titration,szcore,38.00222222222222,0.75,0.0006391447081723367,0.9933333333333333,0.46153846153846156,4.392667267075332,True,0.6,8.841588211215718,3,14,5,False
Glass-2,rf,loo,chb05,medication_titration,ali,38.00222222222222,0.5,0.003747712152465065,0.97,0.0,4.392667267075332,True,0.0,5.683878135781533,0,9,5,False
Glass-2,rf,loo,chb05,realtime_alert,szcore,38.00222222222222,0.82,0.00046483251503442666,0.9966666666666667,0.46153846153846156,1.8825716858894281,True,0.6,5.683878135781533,3,9,5,False
Glass-2,rf,loo,chb05,realtime_alert,ali,38.00222222222222,0.69,0.00104587315882746,0.99,0.0,1.8825716858894281,True,0.0,1.894626045260511,0,3,5,False
Glass-2,rf,loo,chb19,medication_titration,szcore,28.92888888888889,0.91,0.0010327244562060285,0.64,0.5769230769230769,4.53107855160395,True,1.0,1.6592410508526654,3,2,3,True
Glass-2,rf,loo,chb19,medication_titration,ali,28.92888888888889,0.74,0.002242948428322468,0.45666666666666667,0.11538461538461539,4.879623055573484,True,0.0,3.3184821017053308,0,4,3,False
Glass-2,rf,loo,chb19,realtime_alert,szcore,28.92888888888889,0.96,0.0004518169495901375,0.87,0.3076923076923077,1.742722519847673,True,1.0,0.0,3,0,3,True
Glass-2,rf,loo,chb19,realtime_alert,ali,28.92888888888889,0.94,0.0007099980636416446,0.7633333333333333,0.038461538461538464,1.3941780158781385,True,0.0,2.4888615762789983,0,3,3,False
Glass-2,rf,loo,chb17,medication_titration,szcore,21.006666666666668,0.9,0.001211704409621588,0.64,0.7142857142857143,4.597927002996512,True,0.3333333333333333,19.422405585528402,1,17,3,False
Glass-2,rf,loo,chb17,medication_titration,ali,21.006666666666668,0.79,0.002161418676622292,0.5966666666666667,0.07142857142857142,4.951613695534705,True,0.0,3.4274833386226593,0,3,3,False
Glass-2,rf,loo,chb17,realtime_alert,szcore,21.006666666666668,0.98,0.0002619901426208839,0.7866666666666666,0.25,1.414746770152773,True,0.0,5.712472231037766,0,5,3,False
Glass-2,rf,loo,chb17,realtime_alert,ali,21.006666666666668,0.93,0.0009824630348283145,0.6733333333333333,0.03571428571428571,1.7684334626909661,True,0.0,0.0,0,0,3,False
Glass-2,rf,loo,chb23,medication_titration,szcore,26.555555555555557,0.92,0.001080544360726593,0.77,0.6153846153846154,4.731032065884002,True,0.14285714285714285,15.364016736401672,1,17,7,False
Glass-2,rf,loo,chb23,medication_titration,ali,26.555555555555557,0.87,0.0018398458033993341,0.73,0.038461538461538464,4.415629928158402,True,0.0,2.7112970711297066,0,3,7,False
Glass-2,rf,loo,chb23,realtime_alert,szcore,26.555555555555557,0.96,0.0004964663279014076,0.84,0.38461538461538464,1.8924128263536009,True,0.14285714285714285,8.13389121338912,1,9,7,False
Glass-2,rf,loo,chb23,realtime_alert,ali,26.555555555555557,0.93,0.0009053209508790374,0.7866666666666666,0.038461538461538464,1.5770106886280006,True,0.0,0.0,0,0,7,False
Glass-2,rf,loo,chb24,medication_titration,szcore,21.295555555555556,0.75,0.0014649696458289385,0.9666666666666667,0.3333333333333333,4.30349483158709,True,0.625,7.888970051132214,10,7,16,False
Glass-2,rf,loo,chb24,medication_titration,ali,21.295555555555556,0.59,0.0033987295783231373,0.91,0.1,4.30349483158709,True,0.0625,9.015965772722529,1,8,16,False
Glass-2,rf,loo,chb24,realtime_alert,szcore,21.295555555555556,0.82,0.0008907015446639946,0.9766666666666667,0.3333333333333333,1.7720272835946838,True,0.5625,4.5079828863612645,9,4,16,False
Glass-2,rf,loo,chb24,realtime_alert,ali,21.295555555555556,0.78,0.0011016571736633617,0.9733333333333334,0.03333333333333333,1.7720272835946838,True,0.0,2.2539914431806323,0,2,16,False
Glass-2,rf,loo,chb08,medication_titration,szcore,20.005555555555556,0.94,0.000390625,0.9433333333333334,0.06060606060606061,4.6875,True,0.8,0.0,4,0,5,True
Glass-2,rf,loo,chb08,medication_titration,ali,20.005555555555556,0.82,0.0022569444444444442,0.76,0.0,4.921875,True,0.0,5.998333796167731,0,5,5,False
Glass-2,rf,loo,chb08,realtime_alert,szcore,20.005555555555556,0.98,5.425347222222222e-05,0.9866666666666667,0.0,1.171875,True,0.4,0.0,2,0,5,False
Glass-2,rf,loo,chb08,realtime_alert,ali,20.005555555555556,0.88,0.0011284722222222221,0.85,0.0,1.640625,True,0.0,4.798667036934185,0,4,5,False
Glass-2,rf,loo,chb11,medication_titration,szcore,34.79222222222222,0.94,0.0003421352750241249,0.9366666666666666,0.03333333333333333,4.9267479603474,True,0.4,0.0,2,0,5,False
Glass-2,rf,loo,chb11,medication_titration,ali,34.79222222222222,0.81,0.0021317659443810862,0.7966666666666666,0.0,4.9267479603474,True,0.2,2.7592373774470667,1,4,5,False
Glass-2,rf,loo,chb11,realtime_alert,szcore,34.79222222222222,0.98,7.018159487674358e-05,0.99,0.03333333333333333,1.136941837003246,True,0.2,0.0,1,0,5,False
Glass-2,rf,loo,chb11,realtime_alert,ali,34.79222222222222,0.86,0.0012281779103430126,0.8733333333333333,0.0,1.8949030616720766,True,0.0,3.449046721808833,0,5,5,False
Glass-2,rf,loo,chb15,medication_titration,szcore,40.00888888888889,0.94,0.00035758608359100566,0.5,0.05,4.997791380071938,True,0.0,6.598533659186847,0,11,20,False
Glass-2,rf,loo,chb15,medication_titration,ali,40.00888888888889,0.81,0.002387412969857597,0.31,0.0,4.997791380071938,True,0.0,5.39880026660742,0,9,20,False
Glass-2,rf,loo,chb15,realtime_alert,szcore,40.00888888888889,0.97,0.000115689615279443,0.5866666666666667,0.05,1.817378683662523,True,0.0,2.999333481448567,0,5,20,False
Glass-2,rf,loo,chb15,realtime_alert,ali,40.00888888888889,0.86,0.0014618960476220526,0.3566666666666667,0.0,1.817378683662523,True,0.0,1.1997333925794267,0,2,20,False
Glass-2,rf,loo,chb20,medication_titration,szcore,27.59888888888889,0.91,0.000757956338189542,0.8966666666666666,0.47368421052631576,3.807408582533513,True,0.0,13.913603607230565,0,16,8,False
Glass-2,rf,loo,chb20,medication_titration,ali,27.59888888888889,0.77,0.004556551474930153,0.74,0.2631578947368421,4.7592607281668915,True,0.0,4.348001127259551,0,5,8,False
Glass-2,rf,loo,chb20,realtime_alert,szcore,27.59888888888889,0.93,0.000555247084952804,0.91,0.42105263157894735,1.9037042912667566,True,0.0,9.565602479971012,0,11,8,False
Glass-2,rf,loo,chb20,realtime_alert,ali,27.59888888888889,0.86,0.0013220168689352476,0.86,0.15789473684210525,1.9037042912667566,True,0.0,0.0,0,0,8,False
Glass-2,rf,loo,chb07,medication_titration,szcore,59.047777777777775,0.82,0.0009325532830657888,0.83,0.3333333333333333,3.7876010266056648,True,1.0,13.00641664941761,2,32,2,False
Glass-2,rf,loo,chb07,medication_titration,ali,59.047777777777775,0.69,0.00446350289330634,0.6633333333333333,0.25925925925925924,3.959764709633195,True,0.0,8.535460926180306,0,21,2,False
Glass-2,rf,loo,chb07,realtime_alert,szcore,59.047777777777775,0.86,0.0006615548931150468,0.8666666666666667,0.2962962962962963,1.2051457811927115,True,1.0,8.535460926180306,2,21,2,False
Glass-2,rf,loo,chb07,realtime_alert,ali,59.047777777777775,0.71,0.003427332578788797,0.7,0.2222222222222222,1.8938005133028324,True,0.0,6.909658845003105,0,17,2,False
Glass-2,lr,5fold,0,medication_titration,szcore,76.32555555555555,0.96,0.0022273166809721966,1.0,0.15,4.811004030899944,True,0.0,2.5155401569301095,0,8,36,False
Glass-2,lr,5fold,0,medication_titration,ali,76.32555555555555,0.93,0.003302947663490477,1.0,0.125,4.693662469170677,True,0.0,2.2010976373138456,0,7,36,False
Glass-2,lr,5fold,0,realtime_alert,szcore,76.32555555555555,0.99,0.0011190908201957866,1.0,0.125,1.877464987668271,True,0.0,2.5155401569301095,0,8,36,False
Glass-2,lr,5fold,0,realtime_alert,ali,76.32555555555555,0.99,0.0011190908201957866,1.0,0.05,3.5202468518780083,False,0.0,2.2010976373138456,0,7,36,False
Glass-2,lr,5fold,1,medication_titration,szcore,204.5311111111111,0.99,0.007732325604566093,0.9711108803749084,0.5405405405405406,24.82599598616508,False,0.15,13.494279598865697,6,115,40,False
Glass-2,lr,5fold,1,medication_titration,ali,204.5311111111111,0.99,0.007732325604566093,0.9711108803749084,0.05405405405405406,14.98783039412443,False,0.1,14.667695216158368,4,125,40,False
Glass-2,lr,5fold,1,realtime_alert,szcore,204.5311111111111,0.99,0.007732325604566093,0.9711108803749084,0.5405405405405406,24.82599598616508,False,0.15,13.494279598865697,6,115,40,False
Glass-2,lr,5fold,1,realtime_alert,ali,204.5311111111111,0.99,0.007732325604566093,0.9711108803749084,0.05405405405405406,14.98783039412443,False,0.1,14.667695216158368,4,125,40,False
Glass-2,lr,5fold,2,medication_titration,szcore,312.25333333333333,0.99,0.0023298037124501662,0.9999998807907104,0.3142857142857143,13.84931819913156,False,0.0,6.9943208505914,0,91,37,False
Glass-2,lr,5fold,2,medication_titration,ali,312.25333333333333,0.99,0.0023298037124501662,0.9999998807907104,0.02857142857142857,4.662146720499733,True,0.0,5.918271488961954,0,77,37,False
Glass-2,lr,5fold,2,realtime_alert,szcore,312.25333333333333,0.99,0.0023298037124501662,0.9999998807907104,0.3142857142857143,13.84931819913156,False,0.0,6.9943208505914,0,91,37,False
Glass-2,lr,5fold,2,realtime_alert,ali,312.25333333333333,0.99,0.0023298037124501662,0.9999998807907104,0.02857142857142857,4.662146720499733,False,0.0,5.918271488961954,0,77,37,False
Glass-2,lr,5fold,3,medication_titration,szcore,175.02666666666667,0.9,0.0027070382995789052,0.9330167174339294,0.5142857142857142,4.872668939242029,True,0.45714285714285713,16.728879408851984,16,122,35,False
