config,model,scheme,criterion,n_subjects,n_hours,n_events_ref,macro_sensitivity,micro_sensitivity,micro_fa_per_day,pct_subjects_meeting_criterion,window_precision,window_recall,window_f1,window_specificity,window_tp,window_fp,window_tn,window_fn
Best-7,lr,5fold,medication_titration,23,944.87,183,0.12091097308488612,0.07103825136612021,13.385905475977408,4.3478260869565215,0.06285218899003034,0.15760869565217392,0.08986674930275797,0.9923480493188631,435,6486,841141,2325
Best-7,mlp,5fold,medication_titration,23,944.87,183,0.15980848861283642,0.1092896174863388,66.39612317685948,4.3478260869565215,0.032227666792310594,0.24782608695652175,0.057038025350233494,0.9757676430788542,684,20540,827087,2076
Best-7,rf,5fold,medication_titration,23,944.87,183,0.111620082815735,0.07103825136612021,4.495835425518028,0.0,0.21566731141199227,0.16159420289855073,0.18475559237779618,0.9980864224476096,446,1622,846005,2314
Best-7,baseline_always_seizure,5fold,realtime_alert,23,944.87,183,1.0,1.0,283.44083340878916,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Best-7,baseline_never_seizure,5fold,realtime_alert,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Best-7,lr,5fold,realtime_alert,23,944.87,183,0.12091097308488612,0.07103825136612021,13.030302673959033,0.0,0.06350386674598453,0.15471014492753624,0.09004639392661323,0.9925710247549925,427,6297,841330,2333
Best-7,mlp,5fold,realtime_alert,23,944.87,183,0.15980848861283642,0.1092896174863388,65.60871697239021,0.0,0.031673991974011086,0.24021739130434783,0.05596825932804322,0.9760873591803942,663,20269,827358,2097
Best-7,rf,5fold,realtime_alert,23,944.87,183,0.06110248447204968,0.03825136612021858,1.9558154111010633,0.0,0.316256157635468,0.11630434782608695,0.1700662251655629,0.9991812436366467,321,694,846933,2439
Full-18,baseline_always_seizure,5fold,medication_titration,23,944.87,183,1.0,1.0,283.44083340878916,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Full-18,baseline_always_seizure,loo,medication_titration,23,944.87,183,1.0,1.0,283.44083340878916,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Full-18,baseline_never_seizure,5fold,medication_titration,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Full-18,baseline_never_seizure,loo,medication_titration,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Full-18,lr,5fold,medication_titration,23,944.87,183,0.11379399585921326,0.08743169398907104,25.90820414705305,0.0,0.04697651174412794,0.17028985507246377,0.0736388562475519,0.9887509482354857,470,9535,838092,2290
Full-18,lr,loo,medication_titration,23,944.87,183,0.11503623188405795,0.06557377049180328,16.967333696305328,0.0,0.0808685245341084,0.1713768115942029,0.10988500406551284,0.9936575875945434,473,5376,842251,2287
Full-18,mlp,5fold,medication_titration,23,944.87,183,0.1685443984357028,0.14754098360655737,48.51438227536404,0.0,0.04679897567221511,0.2648550724637681,0.07954298150163222,0.9824344906427002,731,14889,832738,2029
Full-18,mlp,loo,medication_titration,23,944.87,183,0.24523809523809526,0.12568306010928962,44.09474745027852,0.0,0.048884098402231804,0.2793478260869565,0.08320742499460393,0.9823023570509198,771,15001,832626,1989
Full-18,rf,5fold,medication_titration,23,944.87,183,0.11741718426501035,0.07103825136612021,4.318034024508841,4.3478260869565215,0.23729701414353063,0.1641304347826087,0.19404583422574423,0.9982822633068555,453,1456,846171,2307
Full-18,rf,loo,medication_titration,23,944.87,183,0.22450828157349897,0.1366120218579235,4.089432223211315,13.043478260869565,0.3216547066272689,0.27608695652173915,0.2971339442386431,0.9981041189107945,762,1607,846020,1998
Full-18,baseline_always_seizure,5fold,realtime_alert,23,944.87,183,1.0,1.0,283.44083340878916,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Full-18,baseline_always_seizure,loo,realtime_alert,23,944.87,183,1.0,1.0,283.44083340878916,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Full-18,baseline_never_seizure,5fold,realtime_alert,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Full-18,baseline_never_seizure,loo,realtime_alert,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Full-18,lr,5fold,realtime_alert,23,944.87,183,0.11379399585921326,0.08743169398907104,25.80660334647637,0.0,0.04632152588555858,0.16630434782608697,0.07246033625384797,0.9888512281935332,459,9450,838177,2301
Full-18,lr,loo,realtime_alert,23,944.87,183,0.11503623188405795,0.06557377049180328,16.586330694142784,0.0,0.08048005647723261,0.16521739130434782,0.10823641110847376,0.9938534284537892,456,5210,842417,2304
Full-18,mlp,5fold,realtime_alert,23,944.87,183,0.1685443984357028,0.14754098360655737,47.93017767204814,0.0,0.0474664923177509,0.26304347826086955,0.08042093602880089,0.982812015190644,726,14569,833058,2034
Full-18,mlp,loo,realtime_alert,23,944.87,183,0.22349896480331263,0.12021857923497267,43.713744448115975,0.0,0.04542525773195876,0.2554347826086957,0.07713347921225382,0.9825217931944121,705,14815,832812,2055
Full-18,rf,5fold,realtime_alert,23,944.87,183,0.0670807453416149,0.03825136612021858,2.006615811389403,0.0,0.37486457204767065,0.12536231884057972,0.18789030681509641,0.9993192760494888,346,577,847050,2414
Full-18,rf,loo,realtime_alert,23,944.87,183,0.11162008281573499,0.060109289617486336,2.006615811389403,0.0,0.46962391513982643,0.17644927536231883,0.25651830392415065,0.9993511296832215,487,550,847077,2273
Glass-2,baseline_always_seizure,5fold,medication_titration,23,945.45,183,1.0,1.0,283.4199272070861,0.0,0.0032435977139687417,1.0,0.006466221606317218,0.0,2760,848147,0,0
Glass-2,baseline_always_seizure,loo,medication_titration,23,945.45,183,1.0,1.0,283.4199272070861,0.0,0.0032435977139687417,1.0,0.006466221606317218,0.0,2760,848147,0,0
Glass-2,baseline_never_seizure,5fold,medication_titration,23,945.45,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,848147,2760
Glass-2,baseline_never_seizure,loo,medication_titration,23,945.45,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,848147,2760
Glass-2,lr,5fold,medication_titration,23,945.45,183,0.062111801242236024,0.03825136612021858,6.143092018281669,0.0,0.06253889234598631,0.07282608695652174,0.0672915969199866,0.9964475497761591,201,3013,845134,2559
Glass-2,lr,loo,medication_titration,23,945.45,183,0.062111801242236024,0.04371584699453552,6.853862995603515,0.0,0.184070796460177,0.15072463768115943,0.16573705179282872,0.9978258485852098,416,1844,846303,2344
Glass-2,mlp,5fold,medication_titration,23,945.45,183,0.10760869565217392,0.08196721311475409,19.44466316530479,0.0,0.0930309551398775,0.2036231884057971,0.12771275991364617,0.9935400349231914,562,5479,842668,2198
Glass-2,mlp,loo,medication_titration,23,945.45,183,0.19327122153209111,0.12568306010928962,8.453097694577668,8.695652173913043,0.17221811004194423,0.2528985507246377,0.20490239248495523,0.9960443177892512,698,3355,844792,2062
Glass-2,rf,5fold,medication_titration,23,945.45,183,0.06832298136645963,0.04371584699453552,4.4169339305000435,0.0,0.16387413158970168,0.14528985507246378,0.1540234299980795,0.9975876823239368,401,2046,846101,2359
Glass-2,rf,loo,medication_titration,23,945.45,183,0.14246894409937888,0.09289617486338798,5.051550874537406,4.3478260869565215,0.1978150604760047,0.18369565217391304,0.19049408228442608,0.9975758919149629,507,2056,846091,2253
Glass-2,baseline_always_seizure,5fold,realtime_alert,23,945.45,183,1.0,1.0,283.4199272070861,0.0,0.0032435977139687417,1.0,0.006466221606317218,0.0,2760,848147,0,0
Glass-2,baseline_always_seizure,loo,realtime_alert,23,945.45,183,1.0,1.0,283.4199272070861,0.0,0.0032435977139687417,1.0,0.006466221606317218,0.0,2760,848147,0,0
Glass-2,baseline_never_seizure,5fold,realtime_alert,23,945.45,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,848147,2760
Glass-2,baseline_never_seizure,loo,realtime_alert,23,945.45,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,848147,2760
Glass-2,lr,5fold,realtime_alert,23,945.45,183,0.043478260869565216,0.02185792349726776,5.965399273951207,0.0,0.05384063173007897,0.05434782608695652,0.054093040028849626,0.9968920481944757,150,2636,845511,2610
Glass-2,lr,loo,realtime_alert,23,945.45,183,0.02608695652173913,0.01092896174863388,4.340779897215559,0.0,0.1763026409707352,0.08949275362318841,0.11872146118721463,0.9986393868044101,247,1154,846993,2513
Glass-2,mlp,5fold,realtime_alert,23,945.45,183,0.06537267080745342,0.04918032786885246,18.68312283245995,0.0,0.08103638368246968,0.15978260869565217,0.10753474762253108,0.9941036164721446,441,5001,843146,2319
Glass-2,mlp,loo,realtime_alert,23,945.45,183,0.11555383022774325,0.08196721311475409,7.336171873071911,4.3478260869565215,0.16002415458937197,0.19202898550724637,0.1745718050065876,0.9967199082234566,530,2782,845365,2230
Glass-2,rf,5fold,realtime_alert,23,945.45,183,0.034161490683229816,0.02185792349726776,1.218464532551736,0.0,0.3125845737483085,0.08369565217391305,0.13203772506430408,0.999401047224125,231,508,847639,2529
Glass-2,rf,loo,realtime_alert,23,945.45,183,0.03229813664596273,0.02185792349726776,2.183082287488527,0.0,0.22818254603682947,0.10326086956521739,0.14218009478672985,0.9988634045749145,285,964,847183,2475
Glass-4,baseline_always_seizure,5fold,medication_titration,23,944.87,183,1.0,1.0,283.44083340878916,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Glass-4,baseline_never_seizure,5fold,medication_titration,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Glass-4,lr,5fold,medication_titration,23,944.87,183,0.062111801242236024,0.03825136612021858,12.192096069201433,0.0,0.05494028230184582,0.09166666666666666,0.06870332654446708,0.9948656661479637,253,4352,843275,2507
Glass-4,mlp,5fold,medication_titration,23,944.87,183,0.14050207039337473,0.09289617486338798,30.607241173724432,4.3478260869565215,0.05025214544811112,0.20579710144927535,0.08077935006755316,0.9873352311806962,568,10735,836892,2192
Glass-4,rf,5fold,medication_titration,23,944.87,183,0.07559523809523809,0.04371584699453552,4.292633824364671,0.0,0.2130832130832131,0.1605072463768116,0.18309568092581113,0.9980699057486371,443,1636,845991,2317
Glass-4,baseline_always_seizure,5fold,realtime_alert,23,944.87,183,1.0,1.0,283.44083340878916,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Glass-4,baseline_never_seizure,5fold,realtime_alert,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Glass-4,lr,5fold,realtime_alert,23,944.87,183,0.05590062111801242,0.03278688524590164,11.557091065597193,0.0,0.05489923558026407,0.08586956521739131,0.06697753285290377,0.9951865620137159,237,4080,843547,2523
