threshold,recorded_hours,tp_szcore,fp_szcore,ref_true_szcore,sens_szcore,fa_per_day_szcore,tp_ali,fp_ali,ref_true_ali,sens_ali,fa_per_day_ali,config,n_subjects
0.0005,916.8722222222223,179,10810,179,1.0,282.9620024600544,178,14133,179,0.994413407821229,369.94467907196565,Glass-7,23
0.00075,916.8722222222223,179,10810,179,1.0,282.9620024600544,178,14133,179,0.994413407821229,369.94467907196565,Glass-7,23
0.00113,916.8722222222223,179,10810,179,1.0,282.9620024600544,178,14133,179,0.994413407821229,369.94467907196565,Glass-7,23
0.00171,916.8722222222223,179,10810,179,1.0,282.9620024600544,178,14133,179,0.994413407821229,369.94467907196565,Glass-7,23
0.00258,916.8722222222223,179,10810,179,1.0,282.9620024600544,178,14133,179,0.994413407821229,369.94467907196565,Glass-7,23
0.00388,916.8722222222223,179,10851,179,1.0,284.03521634542557,178,16559,179,0.994413407821229,433.4475299478299,Glass-7,23
0.00585,916.8722222222223,179,10851,179,1.0,284.03521634542557,178,16559,179,0.994413407821229,433.4475299478299,Glass-7,23
0.00881,916.8722222222223,179,10852,179,1.0,284.0613922938492,178,18126,179,0.994413407821229,474.4652411277471,Glass-7,23
0.01327,916.8722222222223,179,10862,179,1.0,284.3231517780861,177,19233,179,0.9888268156424581,503.4420160327684,Glass-7,23
0.02,916.8722222222223,179,10865,179,1.0,284.40167962335715,177,21308,179,0.9888268156424581,557.7571090119185,Glass-7,23
0.05111,916.8722222222223,178,10787,179,0.994413407821229,282.35995564630963,160,20901,179,0.8938547486033519,547.103498003478,Glass-7,23
0.08222,916.8722222222223,177,10306,179,0.9888268156424581,269.76932445451627,134,16464,179,0.7486033519553073,430.9608148475796,Glass-7,23
0.11333,916.8722222222223,169,9329,179,0.9441340782122905,244.19542284457424,113,13066,179,0.6312849162011173,342.0149421038918,Glass-7,23
0.14444,916.8722222222223,157,8202,179,0.8770949720670391,214.6951289710792,97,10600,179,0.5418994413407822,277.46505329108015,Glass-7,23
